Station_A,Station_B,Distance_KM,Electrified
RK,RN,7.4,false
RMTP,SS,6.755,true
RMTP,SK,9.15,true
RN,VG,5.9,false
RNN_HVN,Y_HVN,0.0,false
RO,TRK,3.1,true
RO,ROF,2.3,false
RO,VY,11.2,true
ROG,ÖVN,0.0,true
RQ,TE,15.7,true
RS,ØS,0.0,false
RS,VSA,0.0,false
RU,VB,4.0,true
RUV,ØN,7.2,false
RUV,SKL,4.7,false
RVH,ØRH,0.0,false
RYD,SØL,7.1,false
RYE,STE,6.2,true
RYG,RÅD,7.73,false
RYN,STP,0.0,true
RYR,ØX,8.762,true
RYR,UV,13.702,true
RÄP,VÖ,4.6,true
RÅ,TG,0.0,false
RÖ,SAE,11.567,true
RÖP,V,2.7,true
RØB,VP,11.2,false
RØB,SK,7.5,false
RØN,THS,0.0,false
SA,TO,7.2,false
SAK,SÖG,13.9,true
SAL,TP,5.4,false
SAU,SKB,0.0,false
SAÖ,SEA,5.973,true
SC,TP,3.2,true
SDBY,TNB,0.9,false
SDBY,VID,2.5,false
SDE,SPN,6.7,true
SDL,TDGR,0.0,false
SDR,SPH,5.167,true
SDY,TRE,7.991,true
SE,VÆ,5.6,false
SEL,SÆV,2.35,true
SG,SO,14.6,true
SGD,SKE,5.106,true
SGD,SMD,2.011,true
SHG,VTÅ,0.0,true
SHG,STP,0.0,true
SIC,SID,1.22,true
SIS,STS,1.3,false
SIS,SVV,8.7,false
SJ,TA,4.5,false
SK,VÆ,15.015,true
SKA_HVN,SVG_HST,0.0,false
SKE,ØVB,10.025,true
SL,SV,6.9,false
SM,VF,14.5,true
SM,SP,5.1,false
SMN,TNS,12.881,true
SMT,STÖ,13.864,true
SMT,ÅBS,15.195,true
SN,SR,9.7,false
SNO,TL,6.4,true
SNU,SVG,11.839,true
SNU,STH,6.686,true
SO,UDL,1.787,true
SPO_HVN,TÅR_HVN,0.0,false
SR,SØ,7.5,false
STA,VIC,0.0,false
STB,THL,1.3,true
STB,Ö,4.4,true
STE,VLB,0.925,true
STL,VED,3.0,false
STR,UM,6.9,false
STR,VP,13.2,false
STÆ,SØB,0.0,false
SVE,YB,6.714,true
SVG,SVV,2.6,false
SVG_HVN,ÆRØ_HVN,0.0,false
SVÖ,ÖG,6.629,true
SVÖ,TRG,7.861,true
SYD,VGD,9.172,true
SÄ,UTP,8.582,true
SÅ,VB,3.3,true
SÖLA,VÄD,2.05,true
TA,ØG,13.1,false
TB,VÅN,5.453,true
TBA,ØBG,2.3,false
TDGR,TDR,3.7,false
TDN,UNL,21.21,false
TDR,TRN,0.7,false
TE,VK,7.6,true
TEO,TYE,8.9,true
TGP,VÅK,7.2,true
THB,THT,1.3,false
THE,UNL,104.4,false
THN,ØX,8.546,true
THN,VEA,5.825,true
THS,THT,0.0,false
TIN,TRN,1.6,false
TIN,VIS,7.2,false
TM,UF,8.7,false
TNB,VID,0.0,false
TOF,VB,7.625,true
TOV,VSA,1.2,false
TRN,VIS,0.0,false
TS,UU,8.2,false
TUN,ÄH,11.2,true
TY,VTO,6.02,true
TÅT,ØRE,1.6,true
TÖ,VÄD,3.125,true
TØE,ÅL,9.172,true
TØE,ÅNM,11.483,true
UF,VEM,8.1,false
UPH,VEA,10.038,true
UR,YD,4.4,false
UV,UØ,1.398,true
VA,VKA,0.8,false
VA,VNO,0.0,false
VAA,VED,10.628,true
VAG,VG,4.935,true
VB,VRÖ,15.5,true
VB,VB1,1.699,true
VB1,VB2,1.3,true
VB2,VRÖ,12.5,true
VEJ,ØBG,1.9,false
VET,VRI,2.7,false
VET,VIC,0.0,false
VG,ØX,3.69,true
VH,Ä,5.7,true
VIC,VRI,0.0,false
VID,VLH,2.9,false
VID,ÖG,2.65,true
VIF,ØSF,3.2,false
VIP,Ä,10.142,true
VJ,VJS,1.0,false
VLB,Y,5.867,true
VSA,ØS,0.0,false
VÅ,VÅN,5.2,true
VÖ,ÅRD,12.763,true
VÖV,ÖND,7.6,true
VÖV,ÖND1,6.7,true
Ä,ÅP,14.15,true
ÅK,ÅKN,0.5,true
ÖND,ÖND1,0.9,true
